date,country,customer_id,year,month,day,times_viewed,price
2017-11-28,Australia,293778.0,36306.0,198.0,504.0,97.0,40.400000000000006
2017-11-28,Austria,,,,,,
2017-11-28,Bahrain,,,,,,
2017-11-28,Belgium,12362.0,2017.0,11.0,28.0,1.0,130.0
2017-11-28,Bermuda,,,,,,
2017-11-28,Brazil,,,,,,
2017-11-28,Canada,,,,,,
2017-11-28,Channel Islands,,,,,,
2017-11-28,Cyprus,,,,,,
2017-11-28,Czech Republic,,,,,,
2017-11-28,Denmark,,,,,,
2017-11-28,EIRE,1240066.0,173462.0,946.0,2408.0,545.0,375.99
2017-11-28,European Community,,,,,,
2017-11-28,Finland,,,,,,
2017-11-28,France,515863.0,82697.0,451.0,1148.0,343.0,134.25
2017-11-28,Germany,551452.0,88748.0,484.0,1232.0,367.0,139.02999999999997
2017-11-28,Greece,,,,,,
2017-11-28,Hong Kong,,,,,,
2017-11-28,Iceland,,,,,,
2017-11-28,Israel,,,,,,
2017-11-28,Italy,,,,,,
2017-11-28,Japan,,,,,,
2017-11-28,Korea,,,,,,
2017-11-28,Lebanon,,,,,,
2017-11-28,Lithuania,,,,,,
2017-11-28,Malta,,,,,,
2017-11-28,Netherlands,,,,,,
2017-11-28,Nigeria,,,,,,
2017-11-28,Norway,,,,,,
2017-11-28,Poland,,,,,,
2017-11-28,Portugal,1007882.0,159343.0,869.0,2212.0,771.0,208.74999999999986
2017-11-28,RSA,,,,,,
2017-11-28,Saudi Arabia,,,,,,
2017-11-28,Singapore,,,,,,
2017-11-28,Spain,,,,,,
2017-11-28,Sweden,,,,,,
2017-11-28,Switzerland,,,,,,
2017-11-28,Thailand,,,,,,
2017-11-28,USA,12636.0,2017.0,11.0,28.0,1.0,141.0
2017-11-28,United Arab Emirates,,,,,,
2017-11-28,United Kingdom,31943707.0,5956201.0,32483.0,82684.0,12922.0,13281.120000000281
2017-11-28,Unspecified,,,,,,
2017-11-28,West Indies,,,,,,
2017-11-29,Australia,,,,,,
2017-11-29,Austria,,,,,,
2017-11-29,Bahrain,,,,,,
2017-11-29,Belgium,,,,,,
2017-11-29,Bermuda,,,,,,
2017-11-29,Brazil,,,,,,
2017-11-29,Canada,,,,,,
2017-11-29,Channel Islands,,,,,,
2017-11-29,Cyprus,,,,,,
2017-11-29,Czech Republic,,,,,,
2017-11-29,Denmark,12435.0,2017.0,11.0,29.0,15.0,2.1
2017-11-29,EIRE,,,,,,
2017-11-29,European Community,,,,,,
2017-11-29,Finland,,,,,,
2017-11-29,France,360845.0,58493.0,319.0,841.0,240.0,120.02000000000002
2017-11-29,Germany,24942.0,4034.0,22.0,58.0,5.0,4.6
2017-11-29,Greece,,,,,,
2017-11-29,Hong Kong,,,,,,
2017-11-29,Iceland,,,,,,
2017-11-29,Israel,,,,,,
2017-11-29,Italy,,,,,,
2017-11-29,Japan,38265.0,6051.0,33.0,87.0,3.0,6.140000000000001
2017-11-29,Korea,,,,,,
2017-11-29,Lebanon,,,,,,
2017-11-29,Lithuania,,,,,,
2017-11-29,Malta,,,,,,
2017-11-29,Netherlands,336858.0,46391.0,253.0,667.0,240.0,49.33000000000001
2017-11-29,Nigeria,0.0,4034.0,22.0,58.0,6.0,6.8
2017-11-29,Norway,,,,,,
2017-11-29,Poland,,,,,,
2017-11-29,Portugal,,,,,,
2017-11-29,RSA,,,,,,
2017-11-29,Saudi Arabia,,,,,,
2017-11-29,Singapore,,,,,,
2017-11-29,Spain,,,,,,
2017-11-29,Sweden,,,,,,
2017-11-29,Switzerland,,,,,,
2017-11-29,Thailand,,,,,,
2017-11-29,USA,,,,,,
2017-11-29,United Arab Emirates,,,,,,
2017-11-29,United Kingdom,35520055.0,6488689.0,35387.0,93293.0,13650.0,13222.97000000031
2017-11-29,Unspecified,,,,,,
2017-11-29,West Indies,,,,,,
2017-11-30,Australia,,,,,,
2017-11-30,Austria,,,,,,
2017-11-30,Bahrain,,,,,,
2017-11-30,Belgium,,,,,,
2017-11-30,Bermuda,,,,,,
2017-11-30,Brazil,,,,,,
2017-11-30,Canada,,,,,,
2017-11-30,Channel Islands,,,,,,
2017-11-30,Cyprus,,,,,,
2017-11-30,Czech Republic,,,,,,
2017-11-30,Denmark,,,,,,
2017-11-30,EIRE,467148.0,66561.0,363.0,990.0,192.0,194.2199999999999
2017-11-30,European Community,,,,,,
2017-11-30,Finland,,,,,,
2017-11-30,France,420487.0,62527.0,341.0,930.0,121.0,98.15000000000002
2017-11-30,Germany,38115.0,6051.0,33.0,90.0,2.0,12.850000000000001
2017-11-30,Greece,,,,,,
2017-11-30,Hong Kong,,,,,,
2017-11-30,Iceland,,,,,,
2017-11-30,Israel,,,,,,
2017-11-30,Italy,,,,,,
2017-11-30,Japan,,,,,,
2017-11-30,Korea,,,,,,
2017-11-30,Lebanon,,,,,,
2017-11-30,Lithuania,,,,,,
2017-11-30,Malta,,,,,,
2017-11-30,Netherlands,,,,,,
2017-11-30,Nigeria,,,,,,
2017-11-30,Norway,,,,,,
2017-11-30,Poland,281138.0,44374.0,242.0,660.0,206.0,40.17999999999999
2017-11-30,Portugal,,,,,,
2017-11-30,RSA,,,,,,
2017-11-30,Saudi Arabia,,,,,,
2017-11-30,Singapore,,,,,,
2017-11-30,Spain,24968.0,4034.0,22.0,60.0,2.0,3.35
2017-11-30,Sweden,,,,,,
2017-11-30,Switzerland,,,,,,
2017-11-30,Thailand,,,,,,
2017-11-30,USA,,,,,,
2017-11-30,United Arab Emirates,,,,,,
2017-11-30,United Kingdom,35838426.0,5871487.0,32021.0,87330.0,15243.0,12941.500000000246
2017-11-30,Unspecified,,,,,,
2017-11-30,West Indies,,,,,,
2017-12-01,Australia,,,,,,
2017-12-01,Austria,,,,,,
2017-12-01,Bahrain,,,,,,
2017-12-01,Belgium,,,,,,
2017-12-01,Bermuda,,,,,,
2017-12-01,Brazil,,,,,,
2017-12-01,Canada,,,,,,
2017-12-01,Channel Islands,567996.0,78663.0,468.0,39.0,334.0,145.77999999999997
2017-12-01,Cyprus,,,,,,
2017-12-01,Czech Republic,,,,,,
2017-12-01,Denmark,,,,,,
2017-12-01,EIRE,,,,,,
2017-12-01,European Community,,,,,,
2017-12-01,Finland,,,,,,
2017-12-01,France,406281.0,64544.0,384.0,32.0,184.0,184.72999999999993
2017-12-01,Germany,,,,,,
2017-12-01,Greece,,,,,,
2017-12-01,Hong Kong,,,,,,
2017-12-01,Iceland,,,,,,
2017-12-01,Israel,,,,,,
2017-12-01,Italy,61745.0,10085.0,60.0,5.0,10.0,24.15
2017-12-01,Japan,,,,,,
2017-12-01,Korea,,,,,,
2017-12-01,Lebanon,,,,,,
2017-12-01,Lithuania,,,,,,
2017-12-01,Malta,,,,,,
2017-12-01,Netherlands,280698.0,44374.0,264.0,22.0,195.0,77.52000000000002
2017-12-01,Nigeria,,,,,,
2017-12-01,Norway,,,,,,
2017-12-01,Poland,,,,,,
2017-12-01,Portugal,,,,,,
2017-12-01,RSA,,,,,,
2017-12-01,Saudi Arabia,,,,,,
2017-12-01,Singapore,,,,,,
2017-12-01,Spain,225180.0,36306.0,216.0,18.0,149.0,92.03
2017-12-01,Sweden,,,,,,
2017-12-01,Switzerland,,,,,,
2017-12-01,Thailand,,,,,,
2017-12-01,USA,,,,,,
